lat,long,population,city_significance,zoom_level,national_significance
-89.9999998,176.9944521,200,7,0.0,20
-81.1790847,-40.5015315,40,7,0.0,20
-78.4662842,106.8000337,25,7,0.0,20
-77.8663208,-34.6166832,100,7,0.0,20
-77.8469382,166.7491023,85,7,0.0,20
-77.7322824,166.8694157,1000,7,0.0,20
-76.0922632,-26.4741567,70,7,0.0,20
-75.0495935,-13.4167111,18,7,0.0,20
-74.6663094,124.1670357,30,7,0.0,20
-74.6191926,164.2190271,80,7,0.0,20
-74.5829036,-11.2166903,10,7,0.0,20
-73.0496122,-13.4167111,10,7,0.0,20
-72.0162903,2.5333231,44,7,0.0,20
-71.3012347,-11.8502129,70,7,0.0,20
-70.8903967,-7.838438,40,7,0.0,20
-70.7821796,11.7304584,65,7,0.0,20
-69.434063,76.3392981,60,7,0.0,20
-69.0303925,39.7460831,60,7,0.0,20
-68.7951614,-90.584203,1,7,0.0,20
-68.7776744,78.1407351,70,7,0.0,20
-68.1163216,-67.0999976,20,7,0.0,20
-67.6145203,62.8750007,60,7,0.0,20
-67.5647756,-68.1235405,130,7,0.0,20
-66.7750509,139.9636836,120,7,0.0,20
-66.5755295,93.0062885,169,7,0.0,20
-66.2860861,110.536214,200,7,0.0,20
-64.7624134,-64.0468756,46,7,0.0,20
-64.2328894,-56.6500153,150,7,0.0,20
-63.3753287,-57.0259015,250,7,0.0,20
-63.3284182,-57.8895935,44,7,0.0,20
-62.4995068,-59.6833185,41,7,0.0,20
-62.2248534,-58.7715988,90,7,0.0,20
-62.2241439,-58.650476,60,7,0.0,20
-62.21632,-58.9666956,40,7,0.0,20
-62.1949625,-58.9526658,20,7,0.0,20
-62.1827436,-58.9076523,150,7,0.0,20
-62.1738867,-58.8638641,60,8,0.0,10
-61.999589,-57.9999846,6,7,0.0,20
-60.7328963,-44.7333008,45,7,0.0,20
-60.6313081,-45.6007033,8,7,0.0,20
-54.933302,-67.6167102,2500,6,3.0,30
-54.7900032,-68.3100013,58028,6,3.0,30
-54.280577,-36.5079889,99,7,0.0,20
-53.7914455,-67.6989952,31095,6,3.0,30
-53.1649861,-70.9399958,117430,3,3.0,110
-52.6499788,-71.4666045,358,8,3.0,10
-51.95059,-60.0869631,120,7,0.0,20
-51.7183044,-72.5116828,20000,6,3.0,30
-51.700011,-57.8499679,2213,3,0.0,110
-51.6332967,-69.2165868,85700,3,3.0,110
-51.58929026169316,-72.2196012862378,5300,8,3.0,10
-50.3333244,-72.3000161,8000,4,3.0,50
-49.9745486,-68.9034727,410,8,3.0,10
-49.3000024,-67.7166525,2347,6,3.0,30
-48.7665983,-70.250012,2519,8,3.0,10
-48.4668778,-72.5929555,250,7,3.0,20
-47.7500195,-65.8999675,3305,3,3.0,110
-47.2662764,-72.5499492,4441,7,3.0,20
-46.8876496,168.1665937,310,8,8.0,10
-46.6000122,-70.9333553,3766,6,3.0,30
-46.4094366,168.3650058,49200,6,8.0,30
-46.0946819,168.9603814,9750,8,8.0,10
-45.8854231,170.4910157,117700,4,8.0,50
-45.8700309,-67.499999,140850,3,3.0,110
-45.6833756,-70.2665743,1825,8,3.0,10
-45.6000215,-69.0833132,5185,6,3.0,30
-45.5699975,-72.0700043,45787,4,3.0,50
-45.4073648,167.7584585,1857,8,8.0,10
-45.3999304,-72.7000175,8067,6,3.0,30
-45.1091974,170.9947904,13000,7,8.0,20
-45.0332861,-70.8332839,1548,8,3.0,10
-45.0226715,168.7250813,16600,6,8.0,30
-44.698014,169.1448522,5037,8,8.0,10
-44.3971542,171.242469,27200,6,8.0,30
-44.03266464895095,-176.35075368252146,300,8,8.0,10
-43.8982691,171.7486419,17700,7,8.0,20
-43.72388054357429,-67.28317987818585,605,7,3.0,20
-43.5350216,172.6300232,363200,3,8.0,110
-43.3813114,172.6510357,10200,7,8.0,20
-43.3000069,-65.0999905,26335,4,3.0,50
-43.2500358,-65.3299506,93442,8,3.0,10
-43.0996057,-73.5999884,7029,7,3.0,20
-42.9911369,147.3084139,14371,7,3.0,20
-42.9000313,-71.3166136,20048,6,3.0,30
-42.8500085,147.2950297,80870,3,3.0,110
-42.7700134,-65.04002,64555,8,3.0,10
-42.7072393,171.009954,3078,7,8.0,20
-42.63709990186921,-73.79402019666776,381,8,3.0,10
-42.4807616,-73.7623342,29926,8,3.0,10
-42.4716453,171.223143,10100,9,8.0,5
-42.4011806,173.6896859,2172,8,8.0,10
-42.3995967,-66.9500068,500,7,3.0,20
-42.2996028,147.3666015,1157,7,3.0,20
-42.282963,-69.2333041,557,7,3.0,20
-42.0829236,145.5500199,2352,7,3.0,20
-42.0500057,-71.1666228,4269,8,3.0,10
-41.8783882,148.2886124,177,7,3.0,20
-41.869965,-73.8299744,28020,6,3.0,30
-41.7638418,171.6027921,3900,7,8.0,20
-41.76052015637703,-73.19469206025751,12490,8,3.0,10
-41.5135172,173.9549575,30300,4,8.0,50
-41.4699894,-72.9299777,174629,3,3.0,110
-41.4498356,147.1301818,72458,6,3.0,30
-41.3299979,-72.9899998,24958,8,3.0,10
-41.3000256,-69.5833086,5719,8,3.0,10
-41.2925917,173.247448,60800,6,8.0,30
-41.2920679923151,174.77720094690068,393400,3,8.0,110
-41.2805226,174.0165561,2928,8,8.0,10
-41.2037449,174.9123119,102400,8,8.0,10
-41.1926676,146.3311017,19317,4,3.0,50
-41.1499573,-71.2999996,95394,4,3.0,50
-41.1494922,147.5166699,2468,7,3.0,20
-41.1354774,175.0290413,39200,7,8.0,20
-41.121892,174.8523534,52500,8,8.0,10
-41.0666032,145.9166642,19972,6,3.0,30
-41.0333235,-70.2665743,741,8,3.0,10
-40.9439199,175.6456461,20200,7,8.0,20
-40.9034421,174.9989305,25263,8,8.0,10
-40.8329223,145.1166613,4202,7,3.0,20
-40.81319732964497,-62.99754456575547,59122,6,3.0,30
